HSN Code,Description
28111910,"OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : HYDROCYANIC ACID (HYDROGEN CYANIDE, PRUSSIC ACID)"
28111920,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : HYPOPHOSPHORUS ACID (PHOSPHINIC ACID)
28111930,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : ACIDS OF ARSENIC
28111940,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : SULPHONIC ACID
28111990,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC ACIDS : - OTHER : OTHER
28112110,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - CARBON DIOXIDE : DRY ICE
28112190,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - CARBON DIOXIDE : OTHER
28112200,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : SILICON DIOXIDE
28112300,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : SULPHUR DIOXIDE
28112910,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : ARSENIC PENTAOXIDE
28112920,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : ARSENIC TRIOXIDE
28112930,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : NITROUS OXIDE
28112940,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : CARBON MONOXIDE
28112950,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : SULPHUR TRIOXIDE (SULPHURIC ANHYDRIDE)
28112990,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS - OTHER INORGANIC OXYGEN COMPOUNDS OF NON-METALS : - OTHER : OTHER
28121010,"HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : PHOSGENE (CARBONYL CHLORIDE, CARBON OXY-CHLORIDE, CHLOROFORMYL CHLORIDE)"
28121020,HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : PHOSPHORUS TRICHLORIDE
28121021,PHOSPHORUS TRICHLORIDE
28121022,PHOSPHORUS PENTACHLORIDE
28121030,HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : PHOSPHORUS OXYCHLORIDE
28121040,"HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : SULPHUR OXYCHLORIDE, THIONYL CHLORIDE"
28121041,SULPHUR OXYCHLORIDE
28121042,SULPHUR MONOCHLORIDE
28121043,SULPHUR DICHLORIDE
28121047,THIONYL CHLORIDE
28121050,HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : SILICON TETRACHLORIDE
28121060,ARSENOUS TRICHLORIDE
28121090,HALIDES AND HALIDE OXIDES OF NON-METALS - CHLORIDES AND CHLORIDE OXIDES : OTHER
28129000,HALIDES AND HALIDE OXIDES OF NON-METALS - OTHER
28131000,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE -CARBON DISULPHIDE
28139010,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE - OTHER : ARSENIC DISULPHIDE (ARTIFICIAL)
28139020,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE - OTHER : COMMERCIAL PHOSPHORUS TRISULPHIDE
28139090,SULPHIDES OF NON-METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE - OTHER : OTHER
28141000,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION - ANHYDROUS AMMONIA"
28142000,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION - AMMONIA IN AQUEOUS SOLUTION"
28151110,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - SODIUM HYDROXIDE (CAUSTIC SODA) : - SOLID : FLAKES
28151190,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - SODIUM HYDROXIDE (CAUSTIC SODA) : - SOLID : OTHER
28151200,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - SODIUM HYDROXIDE (CAUSTIC SODA) : IN AQUEOUS SOLUTION (SODA LYE OR LIQUID SODA)
28152000,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - POTASSIUM HYDROXIDE (CAUSTIC POTASH)
28153000,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM - PEROXIDES OF SODIUM OR POTASSIUM
28161010,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM - HYDROXIDE AND PEROXIDE OF MAGNESIUM : HYDROXIDE OF MAGNESIUM"
28161020,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM - HYDROXIDE AND PEROXIDE OF MAGNESIUM : PEROXIDE OF MAGNESIUM"
28164000,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM - OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM"
28170010,ZINC OXIDE; ZINC PEROXIDE - ZINC OXIDE; ZINC PEROXIDE : ZINC OXIDE
28170020,ZINC OXIDE; ZINC PEROXIDE - ZINC OXIDE; ZINC PEROXIDE : ZINC PEROXIDE
28181000,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED"
28182010,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE - ALUMINIUM OXIDE, OTHER THAN ARTIFICIAL CORUNDUM : ALUMINA, CALCINED"
28182090,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE - ALUMINIUM OXIDE, OTHER THAN ARTIFICIAL CORUNDUM : OTHER"
28183000,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE -ALUMINIUM HYDROXIDE"
28191000,CHROMIUM OXIDES AND HYDROXIDES - CHROMIUM TRIOXIDE
28199000,CHROMIUM OXIDES AND HYDROXIDES - OTHER
28201000,MANGANESE OXIDES - MANGANESE DIOXIDE
28209000,MANGANESE OXIDES - OTHER
28211010,IRON OXIDES AND HYDROXIDES; EARTH COLOURS CONTAINING 70% OR MORE BY WEIGHT OF COMBINED IRON EVALUATED AS Fe2O3 - IRON OXIDES AND HYDROXIDES : IRON OXIDES
28211020,IRON OXIDES AND HYDROXIDES; EARTH COLOURS CONTAINING 70% OR MORE BY WEIGHT OF COMBINED IRON EVALUATED AS Fe2O3 - IRON OXIDES AND HYDROXIDES : IRON HYDROXIDES
28212000,IRON OXIDES AND HYDROXIDES; EARTH COLOURS CONTAINING 70% OR MORE BY WEIGHT OF COMBINED IRON EVALUATED AS Fe2O3 - EARTH COLOURS
28220010,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES - COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES : COBALT OXIDES
28220020,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES - COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES : COBALT HYDROXIDES
28220030,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES - COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES : COMMERCIAL COBALT OXIDES
28230010,TITANIUM OXIDES - TITANIUM OXIDES : TITANIUM DIOXIDE
28230090,TITANIUM OXIDES - TITANIUM OXIDES : OTHER
28241010,"LEAD OXIDES; RED LEAD AND ORANGE LEAD - LEAD MONOXIDE (LITHARGE, MASSICOT) : LITHARGE"
28241020,"LEAD OXIDES; RED LEAD AND ORANGE LEAD - LEAD MONOXIDE (LITHARGE, MASSICOT) : MASSICOT"
28242000,LEAD OXIDES; RED LEAD AND ORANGE LEAD -RED LEAD AND ORANGE LEAD
28249000,LEAD OXIDES; RED LEAD AND ORANGE LEAD - OTHER
28251010,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : HYDRAZINE ANHYDROUS"
28251020,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : HYDRAZINE HYDRATE"
28251030,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : HYDRAZINE SULPHATE"
28251040,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : HYDROXYLAMINE SULPHATE"
28251090,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS : OTHER"
28252000,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - LITHIUM OXIDE AND HYDROXIDE"
28253010,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - VANADIUM OXIDES AND HYDROXIDES : VANADIUM PENTAOXIDE FLAKES"
28253090,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES VANADIUM OXIDES AND HYDROXIDES : OTHER"
28254000,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - NICKEL OXIDES AND HYDROXIDES"
28255000,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - COPPER OXIDES AND HYDROXIDES"
28256010,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - GERMANIUM OXIDES AND ZIRCONIUM DIOXIDE : GERMANIUM OXIDES"
28256020,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - GERMANIUM OXIDES AND ZIRCONIUM DIOXIDE : ZIRCONIUM DIOXIDE"
28257010,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - MOLYBDENUM OXIDES AND HYDROXIDES : MOLYBDENUM TRIOXIDE"
28257020,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - MOLYBDENUM OXIDES AND HYDROXIDES : MOLYBDIC ACID"
28257090,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - MOLYBDENUM OXIDES AND HYDROXIDES : OTHER"
28258000,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES ANTIMONY OXIDES"
28259010,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - OTHER : TIN OXIDE"
28259020,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - OTHER : CADMIUM OXIDE"
28259030,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - OTHER : MERCURY OXIDES (MERCURIC OXIDE)"
28259040,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - OTHER : CALCIUM HYDROXIDE"
28259050,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - OTHER : AMMONIUM HYDROXIDE"
28259090,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES - OTHER : OTHER"
28261110,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS - FLUORIDES : - OF AMMONIUM OR OF SODIUM : AMMONIUM FLUORIDES"
28261120,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS - FLUORIDES : - OF AMMONIUM OR OF SODIUM : SODIUM FLUORIDES"
28261200,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS - FLUORIDES : OF ALUMINIUM"
28261910,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS - FLUORIDES : - OTHER : MAGNESIUM FLUORIDE"
28261990,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS - FLUORIDES : - OTHER : OTHER"
28262010,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS - FLUOROSILICATES OF SODIUM OR OF POTASSIUM : FLUOROSILICATES OF SODIUM"
28262020,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS - FLUOROSILICATES OF SODIUM OR OF POTASSIUM : FLUOROSILICATES OF POTASSIUM"
28263000,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS -SODIUM HEXAFLUOROALUMINATE (SYNTHETIC CRYOLITE)"
28269000,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS - OTHER"
28271000,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - AMMONIUM CHLORIDE"
28272000,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - CALCIUM CHLORIDE"
28273100,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : OF MAGNESIUM"
28273200,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : OF ALUMINIUM"
28273300,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : OF IRON"
28273400,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : OF COBALT"
28273500,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : OF NICKEL"
28273600,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : OF ZINC"
28273910,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : - OTHER : MERCURIC CHLORIDE"
28273920,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : - OTHER : MERCUROUS CHLORIDE"
28273930,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : - OTHER : STRONTIUM CHLORIDE"
28273940,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : - OTHER : CUPROUS CHLORIDE"
28273990,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - OTHER CHLORIDES : - OTHER : OTHER"
28274110,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - CHLORIDE OXIDES AND CHLORIDE HYDROXIDES : - OF COPPER : COPPER OXYCHLORIDE"
28274190,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - CHLORIDE OXIDES AND CHLORIDE HYDROXIDES : - OF COPPER : OTHER"
28274900,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - CHLORIDE OXIDES AND CHLORIDE HYDROXIDES : OTHER"
28275110,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - BROMIDES AND BROMIDE OXIDES - BROMIDES OF SODIUM OR OF POTASSIUM : BROMIDES OF SODIUM"
28275120,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - BROMIDES AND BROMIDE OXIDES - BROMIDES OF SODIUM OR OF POTASSIUM : BROMIDES OF POTASSIUM"
28275910,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - BROMIDES AND BROMIDE OXIDES - OTHER : MAGNESIUM BROMIDE"
28275990,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - BROMIDES AND BROMIDE OXIDES - OTHER : OTHER"
28276010,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - IODIDES AND IODIDE OXIDES - POTASSIUM IODIDE"
28276020,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - IODIDES AND IODIDE OXIDES - SODIUM IODIDE"
28276090,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES - IODIDES AND IODIDE OXIDES - OTHER"
28281010,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - COMMERCIAL CALCIUM HYPOCHLORITE AND OTHER CALCIUM HYPOCHLORITES : COMMERCIAL CALCIUM HYPOCHLORITE (BLEACHING PASTE OR POWDER)
28281090,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - COMMERCIAL CALCIUM HYPOCHLORITE AND OTHER CALCIUM HYPOCHLORITES : OTHER
28289011,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - OTHER : - SODIUM HYPOCHLORITES : BLEACHING PASTE OR POWDER
28289019,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - OTHER : - SODIUM HYPOCHLORITES : OTHER
28289020,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - OTHER : POTASSIUM HYPOCHLORITES
28289030,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - OTHER : SODIUM CHLORITE
28289040,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - OTHER : ALUMINIUM CHLORITE
28289050,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - OTHER : HYPOBROMITES
28289060,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - OTHER : BLEACHING PASTE OR POWDER OF OTHER HYPOCHLORITES
28289090,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITES; CHLORITES; HYPOBROMITES - OTHER : OTHER
28291100,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES - CHLORATES : OF SODIUM
28291910,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES - CHLORATES : - OTHER : BARIUM CHLORATE
28291920,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES - CHLORATES : - OTHER : POTASSIUM CHLORATE
28291930,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES - CHLORATES : - OTHER : MAGNESIUM CHLORATE
28291990,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES - CHLORATES : - OTHER : OTHER
28299010,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES - OTHER : PERCHLORATES
28299020,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES - OTHER : BROMATES AND PERBROMATES
28299030,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES - OTHER : IODATES AND PERIODATES
28301000,"SULPHIDES; POLYSULPHIDES, WHETHER OR NOT CHEMICALLY DEFINED - SODIUM SULPHIDES"
28302000,"SULPHIDES; POLYSULPHIDES, WHETHER OR NOT CHEMICALLY DEFINED - ZINC SULPHIDE"
28303000,"SULPHIDES; POLYSULPHIDES, WHETHER OR NOT CHEMICALLY DEFINED - CADMIUM SULPHIDE"
28309010,"SULPHIDES; POLYSULPHIDES, WHETHER OR NOT CHEMICALLY DEFINED - OTHER - SULPHIDES"
28309020,"SULPHIDES; POLYSULPHIDES, WHETHER OR NOT CHEMICALLY DEFINED - OTHER - POLYSULPHIDES"
28311010,DITHIONITES AND SULPHOXYLATES - OF SODIUM : SODIUM DITHIONITES (SODIUM HYDROSULPHITE)
28311020,DITHIONITES AND SULPHOXYLATES - OF SODIUM : SODIUM SULPHOXYLATES (INCLUDING SODIUM FORMALDEHYDE SULPHOXYLATE)
28319010,DITHIONITES AND SULPHOXYLATES - OTHER : DITHIONITES
28319020,DITHIONITES AND SULPHOXYLATES - OTHER : SULPHOXYLATES
28321010,SULPHITES; THIOSULPHATES - SODIUM SULPHITES : SODIUM BISULPHITE
28321020,SULPHITES; THIOSULPHATES - SODIUM SULPHITES : SODIUM HYDROSULPHITE
28321090,SULPHITES; THIOSULPHATES - SODIUM SULPHITES : OTHER
28322010,SULPHITES; THIOSULPHATES - OTHER SULPHITES: POTASSIUM METABISULPHITE
28322020,SULPHITES; THIOSULPHATES - OTHER SULPHITES: MAGNESIUM SULPHITE
28322090,SULPHITES; THIOSULPHATES - OTHER SULPHITES: OTHER
28323010,SULPHITES; THIOSULPHATES - THIOSULPHATES : SODIUM THIOSULPHATE (HYPO)
28323020,SULPHITES; THIOSULPHATES - THIOSULPHATES : MAGNESIUM THIOSULPHATE
28323090,SULPHITES; THIOSULPHATES - THIOSULPHATES : OTHER
28331100,SULPHATES; ALUMS; PEROXOSULPHATES (PERSULPHATES) - SODIUM SULPHATES : DISODIUM SULPHATE
28331910,SULPHATES; ALUMS; PEROXOSULPHATES (PERSULPHATES) - SODIUM SULPHATES : - OTHER : SODIUM HYDROGEN SULPHATE (ACID SULPHATE)
28331920,SULPHATES; ALUMS; PEROXOSULPHATES (PERSULPHATES) - SODIUM SULPHATES : - OTHER : SODIUM PYROSULPHATE
28331990,SULPHATES; ALUMS; PEROXOSULPHATES (PERSULPHATES) - SODIUM SULPHATES : - OTHER : OTHER
28332100,SULPHATES; ALUMS; PEROXOSULPHATES (PERSULPHATES) - OTHER SULPHATES : OF MAGNESIUM
